Age,Height,Weight,Team,Year,Host_City,Event,GDP_adjustedPPP_Value,Cereal_yield_kg_per_hectare_Value,Military_expenditure_Value,Tax_revenue,Expense,Central_government_debt,Avg_Temp,Representing_Host,Medal_Binary
27.0,180.0,70.0,Ethiopia,1992,Barcelona,Athletics Men's Marathon,18156988059.4615,1313.0,255343443.354148,1016933137.8707155,2068875449.3402538,8058284385.155257,22.2,N,0
19.0,173.0,67.0,United States,1976,Montreal,Athletics Men's 100 metres,5979589000000.0,3533.0,91013000000.0,641307080273.7749,1177295467869.1309,2333054044102.4277,8.55,N,0
19.0,173.0,67.0,United States,1976,Montreal,Athletics Men's 4 x 100 metres Relay,5979589000000.0,3533.0,91013000000.0,641307080273.7749,1177295467869.1309,2333054044102.4277,8.55,N,1
29.0,175.0,64.0,Sweden,1976,Montreal,"Athletics Men's 3,000 metres Steeplechase",172015861816.634,3427.3,2345444903.33778,33787840062.43834,46490777013.479706,114706838903.30365,2.1,N,0
24.0,197.0,100.0,Germany,1972,Munich,Athletics Men's Javelin Throw,1542829292000.47,3770.2,9006765501.46289,167012210747.6594,312347989447.55884,324149713504.99634,8.5,Y,0
23.0,169.0,66.0,Guyana,1960,Roma,Athletics Men's 200 metres,1381042405.10996,2013.8,5032808.21202366,216487662.75809023,314526614.1706376,992220569.736143,26.0,N,0
23.0,169.0,66.0,Guyana,1960,Roma,Athletics Men's 400 metres,1381042405.10996,2013.8,5032808.21202366,216487662.75809023,314526614.1706376,992220569.736143,26.0,N,0
22.0,185.0,82.0,Canada,1984,Los Angeles,Athletics Men's 110 metres Hurdles,558639235991.033,2028.0,7349795763.93554,79120748015.5323,135120341730.69266,344708599477.85535,0.0,N,0
26.0,187.0,82.0,Belarus,1996,Atlanta,Athletics Men's Long Jump,42470014324.9849,2189.1,182805614.55491,7984267055.368717,11774155567.250301,4892600376.271744,6.15,N,0
34.0,187.0,82.0,Belarus,2004,Athina,Athletics Men's Triple Jump,85556411867.1887,2983.4,314314017.75712204,15717865220.076906,25042255885.771072,7265771956.24636,6.15,N,0
36.0,175.0,76.0,Poland,2004,Athina,Athletics Men's Marathon,509392841895.623,3537.6,4778627749.04037,79983556384.89395,192856526728.51755,307950378419.56805,7.85,N,0
24.0,193.0,112.0,Germany,1968,Mexico City,Athletics Men's Shot Put,1542829292000.47,3619.6,4827481334.070029,167012210747.6594,312347989447.55884,324149713504.99634,8.5,N,0
28.0,193.0,112.0,Germany,1972,Munich,Athletics Men's Shot Put,1542829292000.47,3770.2,9006765501.46289,167012210747.6594,312347989447.55884,324149713504.99634,8.5,Y,0
35.0,174.0,63.0,Luxembourg,1988,Seoul,Athletics Men's Marathon,11327502020.7178,5328.8,86015559.60033481,2578005087.7591567,3375612240.767294,275750984.8916056,8.65,N,0
